City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,humberto de campos,-2.5983,-43.4611,24.26,89,15,1.44,BR,1719795821
1,thompson,55.7435,-97.8558,26.09,29,40,4.12,CA,1719795627
2,slave lake,55.2834,-114.769,14.99,88,100,3.6,CA,1719795821
3,port-aux-francais,-49.35,70.2167,4.81,97,100,6.71,TF,1719795821
4,ribeira grande,38.5167,-28.7,20.99,85,0,8.05,PT,1719795821
5,bethel,41.3712,-73.414,22.46,88,82,0.45,US,1719795821
6,bredasdorp,-34.5322,20.0403,11.12,92,76,0.84,ZA,1719795821
7,kingston,17.997,-76.7936,29.53,70,5,7.2,JM,1719795821
8,valdivia,-39.8142,-73.2459,9.05,99,100,1.12,CL,1719795821
9,adamstown,-25.066,-130.1015,19.25,64,56,11.07,PN,1719795821
10,namibe,-15.1961,12.1522,17.15,78,0,4.68,AO,1719795821
11,grytviken,-54.2811,-36.5092,-7.9,79,49,4.99,GS,1719795821
12,margaret river,-33.95,115.0667,14.91,71,22,6.49,AU,1719795821
13,ulricehamn,57.7916,13.4142,10.3,99,45,2.36,SE,1719795821
14,waitangi,-43.9535,-176.5597,11.57,88,4,2.68,NZ,1719795821
15,puerto ayora,-0.7393,-90.3518,21.42,95,42,0.89,EC,1719795821
16,ancud,-41.8697,-73.8203,7.16,78,100,1.68,CL,1719795588
17,albany,42.6001,-73.9662,20.31,63,0,3.13,US,1719795621
18,sisimiut,66.9395,-53.6735,3.24,98,100,2.4,GL,1719795822
19,port alfred,-33.5906,26.891,19.35,86,100,5.14,ZA,1719795822
20,bilibino,68.0546,166.4372,21.0,43,86,6.12,RU,1719795822
21,selfoss,63.9331,-20.9971,8.91,86,100,6.28,IS,1719795822
22,nova sintra,14.8667,-24.7167,23.17,85,5,7.65,CV,1719795822
23,minas de barroteran,27.6333,-101.2833,28.75,60,100,4.01,MX,1719795822
24,ushuaia,-54.8,-68.3,0.81,86,75,1.03,AR,1719795566
25,childress,34.4264,-100.204,35.14,31,0,5.14,US,1719795822
26,talnakh,69.4865,88.3972,8.61,53,83,1.83,RU,1719795822
27,nar'yan-mar,67.6713,53.087,4.39,84,100,4.06,RU,1719795822
28,happy valley-goose bay,53.3168,-60.3315,14.17,94,75,2.06,CA,1719795822
29,badger,64.8,-147.5333,29.43,35,84,0.2,US,1719795822
30,santa barbara,34.7333,-120.0343,23.89,47,0,4.12,US,1719795787
31,polyarnyy,69.1989,33.4478,9.37,94,100,2.73,RU,1719795822
32,ust-nera,64.5667,143.2,19.18,40,28,1.83,RU,1719795822
33,sao felix do xingu,-6.6447,-51.995,24.53,49,10,0.87,BR,1719795822
34,papatowai,-46.5619,169.4708,9.9,89,100,2.6,NZ,1719795822
35,wailua homesteads,22.0669,-159.378,26.59,72,31,3.58,US,1719795822
36,lloydminster,53.2835,-110.0016,20.12,52,100,5.14,CA,1719795822
37,zeya,53.75,127.2667,28.42,35,40,1.76,RU,1719795823
38,salamanca,40.8333,-6.0,14.3,76,32,1.41,ES,1719795823
39,gaiman,-43.2897,-65.4929,5.73,65,0,6.7,AR,1719795823
40,tazacorte,28.629,-17.9293,20.54,92,100,6.17,ES,1719795823
41,yaren,-0.5472,166.916,28.79,72,10,5.71,NR,1719795823
42,tura,25.5198,90.2201,24.35,99,100,1.99,IN,1719795823
43,ulsteinvik,62.3432,5.8487,11.84,94,100,2.68,NO,1719795823
44,la ronge,55.1001,-105.2842,25.12,27,40,3.6,CA,1719795823
45,st. john's,47.5649,-52.7093,16.66,90,100,7.2,CA,1719795715
46,la'ie,21.6477,-157.9253,28.58,66,10,2.68,US,1719795823
47,as sulayyil,20.4607,45.5779,34.14,14,13,4.71,SA,1719795823
48,nuuk,64.1835,-51.7216,5.49,81,100,8.49,GL,1719795823
49,island harbour,50.724,-1.2758,15.68,74,100,1.79,GB,1719795823
50,puerto natales,-51.7236,-72.4875,4.25,65,20,9.77,CL,1719795823
51,georgetown,5.4112,100.3354,26.96,80,40,1.54,MY,1719795749
52,yangju,37.8331,127.0617,28.1,61,21,1.69,KR,1719795823
53,cabo san lucas,22.8909,-109.9124,33.17,37,0,4.63,MX,1719795823
54,hermanus,-34.4187,19.2345,13.44,82,16,2.85,ZA,1719795823
55,ardestan,33.3761,52.3694,25.6,37,47,4.15,IR,1719795823
56,yellowknife,62.456,-114.3525,28.29,26,40,3.09,CA,1719795824
57,laramie,41.3114,-105.5911,22.2,68,100,7.2,US,1719795824
58,hammerfest,70.6634,23.6821,11.25,82,75,2.06,NO,1719795824
59,brisas de zicatela,15.8369,-97.0419,26.29,94,75,1.54,MX,1719795824
60,rabo de peixe,37.8,-25.5833,18.73,99,20,5.14,PT,1719795824
61,college,64.8569,-147.8028,29.48,31,71,1.34,US,1719795824
62,lebu,-37.6167,-73.65,10.3,91,100,4.17,CL,1719795824
63,lashio,22.9333,97.75,21.37,97,100,1.14,MM,1719795824
64,boa vista,2.8197,-60.6733,25.99,83,40,2.06,BR,1719795824
65,anadyr,64.75,177.4833,12.28,62,20,11.0,RU,1719795824
66,wuhai,39.6647,106.8122,25.46,29,11,3.62,CN,1719795824
67,atafu village,-8.5421,-172.5159,28.39,79,100,9.55,TK,1719795824
68,edinburgh of the seven seas,-37.0676,-12.3116,15.39,81,70,14.75,SH,1719795824
69,port mathurin,-19.6833,63.4167,22.05,73,20,7.72,MU,1719795824
70,yuzhno-kurilsk,44.0306,145.8556,13.97,99,100,5.02,RU,1719795824
71,mount isa,-20.7333,139.5,17.87,68,20,7.2,AU,1719795824
72,kodiak,57.79,-152.4072,10.73,93,100,4.63,US,1719795824
73,afaahiti,-17.75,-149.2833,28.93,80,21,9.67,PF,1719795825
74,jiamusi,46.8333,130.35,21.63,54,0,2.77,CN,1719795724
75,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,1719795825
76,urangan,-25.3,152.9,21.78,87,99,3.58,AU,1719795825
77,ridder,50.355,83.5133,18.6,91,100,1.9,KZ,1719795825
78,bodo,67.28,14.405,14.02,75,0,6.17,NO,1719795825
79,meadow lake,34.8014,-106.5436,32.36,32,77,7.8,US,1719795825
80,sandnessjoen,66.0217,12.6316,10.29,76,99,6.12,NO,1719795789
81,manokwari,-0.8667,134.0833,27.11,76,98,2.65,ID,1719795825
82,castelnuovo del garda,45.4388,10.7598,23.03,80,0,1.03,IT,1719795825
83,saraikela,22.7167,85.95,27.8,85,100,5.99,IN,1719795825
84,berdigestyakh,62.0989,126.6992,24.36,40,7,3.76,RU,1719795825
85,enewetak,11.3474,162.3373,28.45,78,45,7.95,MH,1719795825
86,bahraigh,27.5833,81.6,30.76,67,63,2.07,IN,1719795825
87,bandar lampung,-5.4254,105.258,24.91,89,71,0.36,ID,1719795825
88,tolanaro,-25.0319,46.9987,16.04,88,20,1.03,MG,1719795825
89,jamestown,42.097,-79.2353,15.01,88,100,5.66,US,1719795602
90,ashkasham,36.6833,71.5333,11.97,68,34,1.48,AF,1719795825
91,tabuk,17.4189,121.4443,28.74,74,35,1.77,PH,1719795825
92,stanley,54.868,-1.6985,10.29,86,0,4.12,GB,1719795825
93,reggane,26.7158,0.1714,38.38,7,61,4.09,DZ,1719795826
94,whitehorse,60.7161,-135.0538,20.43,43,75,1.03,CA,1719795826
95,weno,7.4515,151.8468,28.7,78,95,6.47,FM,1719795826
96,shanwei,22.782,115.3475,29.05,82,86,7.3,CN,1719795826
97,chunskiy,56.0815,99.6342,25.43,53,96,1.79,RU,1719795826
98,khandyga,62.6667,135.6,19.19,60,100,1.57,RU,1719795826
99,minbu,20.1833,94.8833,26.44,78,100,6.31,MM,1719795826
100,inhapim,-19.5492,-42.12,16.33,76,7,2.51,BR,1719795826
101,galliano,29.4422,-90.2992,30.0,70,0,0.0,US,1719795826
102,igrim,63.1906,64.4162,11.05,71,100,5.01,RU,1719795826
103,rundu,-17.9333,19.7667,12.61,46,0,3.01,NA,1719795826
104,iqaluit,63.7506,-68.5145,4.85,75,75,1.03,CA,1719795703
105,sao jose da coroa grande,-8.8978,-35.1478,24.01,81,67,2.14,BR,1719795826
106,neyriz,29.1988,54.3278,26.68,29,81,0.66,IR,1719795826
107,sao vicente,-23.9631,-46.3919,16.82,26,45,1.27,BR,1719795826
108,blackmans bay,-43.0167,147.3167,7.63,74,6,0.45,AU,1719795826
109,namdrik,5.5994,168.1028,28.27,74,87,3.81,MH,1719795826
110,uvinza,-5.1036,30.3911,17.3,54,0,0.94,TZ,1719795826
111,katsuura,35.1333,140.3,24.99,90,100,14.59,JP,1719795826
112,hithadhoo,-0.6,73.0833,28.54,76,25,5.07,MV,1719795826
113,alice springs,-23.7,133.8833,9.75,93,100,5.14,AU,1719795827
114,fereydun kenar,36.6864,52.5225,23.23,65,28,0.86,IR,1719795827
115,sal rei,16.1833,-22.9167,22.27,88,29,6.79,CV,1719795827
116,pisco,-13.7,-76.2167,17.03,88,20,3.6,PE,1719795827
117,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,76,75,6.0,RU,1719795827
118,verkhnevilyuysk,63.4453,120.3167,25.51,53,99,4.98,RU,1719795827
119,qaqortoq,60.7167,-46.0333,2.13,84,9,2.52,GL,1719795827
120,dunedin,-45.8742,170.5036,8.78,91,100,1.34,NZ,1719795827
121,miyaly,48.8844,53.7836,15.86,68,0,3.78,KZ,1719795827
122,erdenet,49.0333,104.0833,20.89,50,0,2.4,MN,1719795827
123,avarua,-21.2078,-159.775,27.03,83,40,3.6,CK,1719795827
124,aasiaat,68.7098,-52.8699,0.85,94,97,1.64,GL,1719795827
125,san julian,21.0167,-102.1667,20.01,69,83,3.64,MX,1719795827
126,ulladulla,-35.35,150.4667,12.31,63,83,5.63,AU,1719795827
127,port elizabeth,-33.918,25.5701,16.84,96,0,2.06,ZA,1719795827
128,monroe,43.1501,-77.6831,17.14,77,100,7.2,US,1719795600
129,hamilton,39.1834,-84.5333,23.21,60,8,0.89,US,1719795629
130,conduaga,8.862,117.4893,28.09,80,100,0.51,PH,1719795827
131,alta,69.9689,23.2717,11.59,87,100,1.03,NO,1719795827
132,hirosaki,40.5931,140.4725,20.26,78,100,4.98,JP,1719795827
133,rongelap,11.1635,166.8941,28.55,72,90,8.98,MH,1719795828
134,yeppoon,-23.1333,150.7333,25.14,67,62,1.62,AU,1719795828
135,susuman,62.7833,148.1667,7.85,91,100,1.7,RU,1719795828
136,inhambane,-23.865,35.3833,18.66,81,0,1.95,MZ,1719795828
137,zaozersk,69.4005,32.4476,8.89,97,99,1.59,RU,1719795828
138,karuzi,-3.125,30.1333,13.41,69,56,1.02,BI,1719795828
139,camalu,30.85,-116.0667,29.25,85,100,3.95,MX,1719795828
140,ejura,7.3856,-1.3562,22.45,98,100,1.67,GH,1719795828
141,nikel,69.4128,30.222,7.1,94,90,2.15,RU,1719795828
142,tofol,5.3248,163.0078,30.88,74,75,1.54,FM,1719795828
143,launceston,-41.45,147.1667,7.31,60,5,1.09,AU,1719795828
144,lihue,21.9789,-159.3672,26.92,72,31,3.48,US,1719795828
145,al muwayh,22.4333,41.7583,25.97,22,26,4.23,SA,1719795828
146,north platte,41.1239,-100.7654,20.18,84,100,6.71,US,1719795622
147,mubende,0.5606,31.39,15.28,78,95,1.03,UG,1719795828
148,la passe,45.5549,-0.8967,17.77,88,15,3.03,FR,1719795829
149,newnham,-41.3833,147.1333,7.04,59,3,1.22,AU,1719795829
150,luderitz,-26.6481,15.1594,12.02,87,0,1.55,NA,1719795829
151,christchurch,-43.5333,172.6333,14.11,55,100,4.12,NZ,1719795566
152,wanning,18.8003,110.3967,29.89,79,100,5.91,CN,1719795829
153,mil'kovo,55.6078,37.7956,21.84,86,100,1.15,RU,1719795829
154,saint-pierre,-21.3393,55.4781,18.82,55,0,4.12,RE,1719795829
155,duluth,46.7833,-92.1066,21.71,43,0,2.57,US,1719795545
156,dudinka,69.4058,86.1778,9.7,49,49,2.85,RU,1719795829
157,tevriz,57.509,72.4042,15.76,95,27,1.4,RU,1719795829
158,pariaman,-0.619,100.12,26.03,75,66,0.41,ID,1719795829
159,vilyuchinsk,52.9306,158.4028,12.15,86,100,2.58,RU,1719795829
160,zhigalovo,54.8097,105.1578,27.62,43,5,1.12,RU,1719795829
161,cleveland,41.4995,-81.6954,17.4,73,75,4.63,US,1719795719
162,kununurra,-15.7667,128.7333,30.99,42,15,4.63,AU,1719795830
163,kerikeri,-35.2268,173.9474,16.62,82,100,5.81,NZ,1719795830
164,amarante do maranhao,-5.5667,-46.7422,23.6,68,0,1.49,BR,1719795830
165,papao,-17.75,-149.55,29.82,76,0,10.54,PF,1719795830
166,karak city,31.1637,35.762,19.12,63,0,3.19,JO,1719795830
167,nenjiang,49.1833,125.2167,22.58,45,80,2.69,CN,1719795830
168,chamical,-30.36,-66.314,11.03,32,0,3.88,AR,1719795830
169,santa ana de yacuma,-13.75,-65.4333,17.17,47,5,2.6,BO,1719795830
170,puerto lempira,15.2667,-83.7667,26.08,78,40,0.0,HN,1719795612
171,south suffolk,36.7171,-76.5902,25.48,99,100,1.54,US,1719795830
172,oriximina,-1.7656,-55.8661,26.94,72,54,1.14,BR,1719795830
173,santa terezinha,-29.9002,-50.0904,7.97,71,0,4.04,BR,1719795830
174,neiafu,-18.65,-173.9833,26.38,78,40,6.17,TO,1719795830
175,tomatlan,19.9333,-105.25,28.96,71,65,3.44,MX,1719795830
176,invercargill,-46.4,168.35,10.01,95,100,1.79,NZ,1719795830
177,peace river,56.2501,-117.286,27.17,41,75,5.14,CA,1719795618
178,minas de marcona,-15.2119,-75.1103,12.65,83,1,4.49,PE,1719795830
179,kirakira,-10.4544,161.9205,28.26,78,35,5.29,SB,1719795830
180,uacu cungo,-11.3634,15.1208,13.83,71,1,0.92,AO,1719795830
181,saipan,15.1355,145.701,28.51,78,10,6.39,MP,1719795830
182,mulayjah,27.271,48.4242,33.52,11,1,3.53,SA,1719795830
183,eyl,7.9803,49.8164,27.0,63,89,10.87,SO,1719795830
184,touros,-5.1989,-35.4608,23.8,85,0,4.76,BR,1719795563
185,yerofey pavlovich,53.9667,121.9667,28.59,34,60,1.67,RU,1719795831
186,pimentel,-6.8367,-79.9342,18.16,82,75,6.69,PE,1719795831
187,yevpatoriya,45.1972,33.3558,21.48,58,0,3.85,UA,1719795831
188,uturoa,-16.7333,-151.4333,26.42,79,6,9.81,PF,1719795831
189,antsiranana,-12.2787,49.2917,22.78,79,89,6.46,MG,1719795831
190,haiku-pauwela,20.9219,-156.3051,26.13,75,11,2.68,US,1719795831
191,arraial do cabo,-22.9661,-42.0278,20.21,71,100,2.93,BR,1719795686
